
        NAMES |       Tsoulos |      Lepouras |       Vlachos |    Vassilakis | Tryfonopoulos |      Masselos |       Blionas |     Malamatos |  Skiadopoulos |        Politi |   Boucouvalas |       Stavdas |    Moscholios |  Kolokotronis |         Maras |       Wallace |        Platis |  Athanasiadou |     Kaloxylos |         Simos |        Peppas |  Yiannopoulos |       Koutras |       Glentis |        Sagias |      Tselikas | 
      Tsoulos |        2177.0 |        1025.0 |          22.0 |        2033.0 |        1070.0 |        1628.0 |         594.0 |         207.0 |         930.0 |         383.0 |        3072.0 |        1199.0 |        1514.0 |         746.0 |         567.0 |        1585.0 |         107.0 |        1623.0 |        2646.0 |         878.0 |        2151.0 |         896.0 |         172.0 |         905.0 |        3110.0 |        1509.0 | 
     Lepouras |        1025.0 |        4787.0 |          26.0 |        5958.0 |        3063.0 |        2595.0 |         810.0 |         394.0 |        2277.0 |         325.0 |        2492.0 |         945.0 |        1528.0 |        1165.0 |         281.0 |        3344.0 |         305.0 |         749.0 |        2018.0 |        1331.0 |         907.0 |         789.0 |         544.0 |        1461.0 |        1598.0 |        1786.0 | 
      Vlachos |          22.0 |          26.0 |           9.0 |          42.0 |          34.0 |          43.0 |          20.0 |           0.0 |          37.0 |           6.0 |          37.0 |          12.0 |          39.0 |           2.0 |           5.0 |          32.0 |           3.0 |          20.0 |          32.0 |          12.0 |          21.0 |          12.0 |           0.0 |          16.0 |          15.0 |          19.0 | 
   Vassilakis |        2033.0 |        5958.0 |          42.0 |        9580.0 |        4613.0 |        4268.0 |        1407.0 |         552.0 |        3451.0 |         807.0 |        4712.0 |        2253.0 |        3057.0 |        1909.0 |         589.0 |        5187.0 |         455.0 |        1536.0 |        4195.0 |        1968.0 |        2086.0 |        1582.0 |         737.0 |        2321.0 |        3201.0 |        3245.0 | 
Tryfonopoulos |        1070.0 |        3063.0 |          34.0 |        4613.0 |        4692.0 |        2542.0 |         811.0 |         519.0 |        2469.0 |         453.0 |        2587.0 |        1299.0 |        1633.0 |        1244.0 |         255.0 |        2777.0 |         252.0 |         765.0 |        2297.0 |         832.0 |         915.0 |         937.0 |         553.0 |        1452.0 |        1474.0 |        1733.0 | 
     Masselos |        1628.0 |        2595.0 |          43.0 |        4268.0 |        2542.0 |        8031.0 |        2270.0 |         696.0 |        2780.0 |         429.0 |        3860.0 |        1318.0 |        2222.0 |        1385.0 |         559.0 |        3494.0 |         371.0 |        1215.0 |        2753.0 |        2039.0 |        1882.0 |        1292.0 |         582.0 |        3047.0 |        2611.0 |        2276.0 | 
      Blionas |         594.0 |         810.0 |          20.0 |        1407.0 |         811.0 |        2270.0 |        1229.0 |         162.0 |         840.0 |         128.0 |        1400.0 |         406.0 |         826.0 |         386.0 |         179.0 |        1090.0 |         119.0 |         470.0 |        1064.0 |         665.0 |         659.0 |         479.0 |         164.0 |         615.0 |         848.0 |         711.0 | 
    Malamatos |         207.0 |         394.0 |           0.0 |         552.0 |         519.0 |         696.0 |         162.0 |        1094.0 |         412.0 |          26.0 |         446.0 |          85.0 |         247.0 |         321.0 |          27.0 |         329.0 |          53.0 |         160.0 |         458.0 |         932.0 |         162.0 |         106.0 |         125.0 |         306.0 |         302.0 |         355.0 | 
 Skiadopoulos |         930.0 |        2277.0 |          37.0 |        3451.0 |        2469.0 |        2780.0 |         840.0 |         412.0 |        4204.0 |         258.0 |        2378.0 |         854.0 |        1651.0 |         953.0 |         276.0 |        2321.0 |         233.0 |         720.0 |        1884.0 |         844.0 |         924.0 |         728.0 |         424.0 |        1546.0 |        1601.0 |        1357.0 | 
       Politi |         383.0 |         325.0 |           6.0 |         807.0 |         453.0 |         429.0 |         128.0 |          26.0 |         258.0 |         645.0 |        1158.0 |        1400.0 |         730.0 |         169.0 |          89.0 |         543.0 |          38.0 |         288.0 |        1141.0 |         175.0 |         430.0 |         757.0 |          39.0 |         242.0 |         752.0 |         649.0 | 
  Boucouvalas |        3072.0 |        2492.0 |          37.0 |        4712.0 |        2587.0 |        3860.0 |        1400.0 |         446.0 |        2378.0 |        1158.0 |        9437.0 |        3444.0 |        4723.0 |        1801.0 |        1189.0 |        3333.0 |         254.0 |        2405.0 |        5565.0 |        1473.0 |        4503.0 |        2930.0 |         373.0 |        2486.0 |        6774.0 |        3656.0 | 
