
        NAMES |       Tsoulos |      Lepouras |       Vlachos |    Vassilakis | Tryfonopoulos |      Masselos |       Blionas |     Malamatos |  Skiadopoulos |        Politi |   Boucouvalas |       Stavdas |    Moscholios |  Kolokotronis |         Maras |       Wallace |        Platis |  Athanasiadou |     Kaloxylos |         Simos |        Peppas |  Yiannopoulos |       Koutras |       Glentis |        Sagias |      Tselikas | 
      Tsoulos |           1.0 |    0.22994758 |   0.029791355 |    0.31353512 |    0.25061187 |    0.23498575 |    0.18759133 |    0.11117306 |    0.24068238 |    0.18302865 |    0.34512603 |      0.234766 |    0.26994702 |    0.16423975 |    0.26201499 |     0.2132036 |    0.09006382 |     0.7691506 |     0.2829352 |    0.15682858 |    0.38513198 |     0.2000406 |    0.09576519 |    0.15848278 |    0.31447425 |    0.32320237 | 
     Lepouras |    0.22994758 |           1.0 |    0.06728655 |    0.80542535 |    0.34484503 |     0.2238523 |    0.13458283 |    0.09165364 |    0.29672027 |   0.112580165 |     0.3100955 |    0.21876405 |    0.18046737 |    0.18281315 |     0.1013072 |    0.40261146 |    0.18199995 |     0.1549089 |    0.24335371 |    0.17418543 |     0.1617919 |    0.13986252 |     0.1787024 |    0.16784294 |    0.15286475 |    0.28724608 | 
      Vlachos |   0.029791355 |    0.06728655 |           1.0 |     0.2966677 |     0.2998662 |   0.104163535 |    0.04631828 |           0.0 |    0.22298568 |   0.103721276 |    0.22035572 |    0.10291772 |    0.07406284 |    0.06359865 |    0.19948086 |     0.2244833 |    0.06347785 |   0.085455135 |    0.21903029 |    0.20077729 |    0.07300642 |   0.075774565 |           0.0 |    0.10428806 |    0.10494391 |    0.29792064 | 
   Vassilakis |    0.31353512 |    0.80542535 |     0.2966677 |           1.0 |    0.28249407 |     0.2456398 |    0.16648914 |    0.09623238 |    0.28783906 |    0.13367817 |    0.25080946 |     0.2209105 |    0.19960853 |    0.18222035 |   0.100995146 |    0.36341915 |    0.14476699 |    0.16454047 |    0.23536816 |    0.16446246 |    0.14903548 |    0.14626959 |    0.14813675 |    0.17792708 |    0.15184265 |     0.2810895 | 
Tryfonopoulos |    0.25061187 |    0.34484503 |     0.2998662 |    0.28249407 |           1.0 |    0.21089089 |   0.120140605 |     0.1295381 |    0.40906104 |    0.11785303 |    0.23776828 |    0.21268363 |    0.11727399 |    0.21027398 |     0.1287503 |    0.31678855 |    0.19393352 |    0.11645145 |    0.23179524 |    0.14483362 |    0.13793366 |    0.12515256 |    0.14302944 |    0.17147166 |    0.11098865 |    0.22895747 | 
     Masselos |    0.23498575 |     0.2238523 |   0.104163535 |     0.2456398 |    0.21089089 |           1.0 |     0.4218068 |    0.14886394 |     0.2276802 |    0.14139545 |     0.2588267 |    0.16681752 |    0.12578762 |    0.17156476 |    0.14437795 |    0.23506555 |    0.12333065 |    0.17095163 |     0.2157412 |    0.17478707 |    0.21081004 |    0.14477219 |    0.11309608 |    0.23895934 |    0.14427009 |    0.21026517 | 
      Blionas |    0.18759133 |    0.13458283 |    0.04631828 |    0.16648914 |   0.120140605 |     0.4218068 |           1.0 |   0.054264367 |    0.20380269 |    0.12450288 |    0.25097254 |    0.19750898 |    0.17270342 |    0.17748626 |    0.18398312 |    0.24925272 |    0.12721176 |    0.21507704 |    0.29940745 |    0.19513322 |     0.3359331 |     0.2180101 |    0.12208003 |    0.28298238 |    0.19234177 |    0.28134677 | 
    Malamatos |    0.11117306 |    0.09165364 |           0.0 |    0.09623238 |     0.1295381 |    0.14886394 |   0.054264367 |           1.0 |    0.21685737 |   0.060675032 |    0.20838524 |    0.10764454 |    0.15378281 |      0.198509 |    0.10931776 |    0.21744148 |   0.013450136 |    0.14581469 |    0.24168414 |     0.1329143 |    0.16295366 |   0.121098824 |    0.15930848 |    0.16089046 |    0.16445376 |    0.21603024 | 
 Skiadopoulos |    0.24068238 |    0.29672027 |    0.22298568 |    0.28783906 |    0.40906104 |     0.2276802 |    0.20380269 |    0.21685737 |           1.0 |    0.09818832 |     0.2002697 |     0.1475056 |    0.13990578 |    0.16394539 |   0.071513884 |    0.33552772 |    0.15579273 |     0.1200073 |     0.1901657 |    0.18158354 |    0.15000084 |    0.08655318 |    0.17352925 |    0.16989067 |    0.15974097 |       0.23049 | 
       Politi |    0.18302865 |   0.112580165 |   0.103721276 |    0.13367817 |    0.11785303 |    0.14139545 |    0.12450288 |   0.060675032 |    0.09818832 |           1.0 |    0.40671852 |     0.7549511 |    0.39183065 |    0.20576334 |     0.1238056 |     0.3072254 |    0.12361766 |    0.18284942 |    0.30476105 |    0.23050196 |    0.28469363 |     0.3303852 |    0.16650043 |    0.19700359 |    0.33042797 |    0.29663733 | 
